brain_area,model,count,proportion
VISal,autoencoding,54,0.07068062827225131
VISal,class_object,63,0.0824607329842932
VISal,class_scene,51,0.06675392670157068
VISal,curvature,20,0.02617801047120419
VISal,denoising,19,0.024869109947643978
VISal,depth_euclidean,13,0.017015706806282723
VISal,depth_zbuffer,14,0.01832460732984293
VISal,edge_occlusion,17,0.02225130890052356
VISal,edge_texture,48,0.06282722513089005
VISal,egomotion,19,0.024869109947643978
VISal,fixated_pose,8,0.010471204188481676
VISal,inpainting,30,0.03926701570680628
VISal,jigsaw,20,0.02617801047120419
VISal,keypoints2d,155,0.20287958115183247
VISal,keypoints3d,12,0.015706806282722512
VISal,nonfixated_pose,17,0.02225130890052356
VISal,point_matching,26,0.034031413612565446
VISal,reshading,10,0.013089005235602094
VISal,room_layout,16,0.020942408376963352
VISal,segment_semantic,42,0.0549738219895288
VISal,segment_unsup25d,23,0.030104712041884817
VISal,segment_unsup2d,38,0.049738219895287955
VISal,vanishing_point,49,0.06413612565445026
VISam,autoencoding,6,0.040268456375838924
VISam,class_object,11,0.0738255033557047
VISam,class_scene,13,0.087248322147651
VISam,curvature,4,0.026845637583892617
VISam,denoising,1,0.006711409395973154
VISam,depth_euclidean,2,0.013422818791946308
VISam,depth_zbuffer,2,0.013422818791946308
VISam,edge_occlusion,5,0.03355704697986577
VISam,edge_texture,17,0.11409395973154363
VISam,egomotion,4,0.026845637583892617
VISam,fixated_pose,3,0.020134228187919462
VISam,inpainting,4,0.026845637583892617
VISam,jigsaw,2,0.013422818791946308
VISam,keypoints2d,23,0.15436241610738255
VISam,keypoints3d,4,0.026845637583892617
VISam,nonfixated_pose,6,0.040268456375838924
VISam,point_matching,2,0.013422818791946308
VISam,reshading,6,0.040268456375838924
VISam,room_layout,2,0.013422818791946308
VISam,segment_semantic,9,0.06040268456375839
VISam,segment_unsup25d,3,0.020134228187919462
VISam,segment_unsup2d,9,0.06040268456375839
VISam,vanishing_point,11,0.0738255033557047
VISl,autoencoding,143,0.07447916666666667
VISl,class_object,128,0.06666666666666667
VISl,class_scene,114,0.059375
VISl,curvature,65,0.033854166666666664
VISl,denoising,47,0.024479166666666666
VISl,depth_euclidean,48,0.025
VISl,depth_zbuffer,48,0.025
VISl,edge_occlusion,34,0.017708333333333333
VISl,edge_texture,173,0.09010416666666667
VISl,egomotion,62,0.03229166666666667
VISl,fixated_pose,31,0.016145833333333335
VISl,inpainting,58,0.030208333333333334
VISl,jigsaw,67,0.034895833333333334
VISl,keypoints2d,264,0.1375
VISl,keypoints3d,33,0.0171875
VISl,nonfixated_pose,59,0.030729166666666665
VISl,point_matching,54,0.028125
VISl,reshading,41,0.021354166666666667
VISl,room_layout,36,0.01875
VISl,segment_semantic,110,0.057291666666666664
VISl,segment_unsup25d,43,0.022395833333333334
VISl,segment_unsup2d,100,0.052083333333333336
VISl,vanishing_point,162,0.084375
VISp,autoencoding,221,0.06791641057160418
VISp,class_object,187,0.057467732022126614
VISp,class_scene,170,0.05224339274738783
VISp,curvature,136,0.04179471419791026
VISp,denoising,145,0.044560540872771975
VISp,depth_euclidean,76,0.023355869698832205
VISp,depth_zbuffer,104,0.03196066379840197
VISp,edge_occlusion,68,0.02089735709895513
VISp,edge_texture,281,0.08635525507068224
VISp,egomotion,100,0.03073140749846343
VISp,fixated_pose,61,0.018746158574062692
VISp,inpainting,101,0.031038721573448065
VISp,jigsaw,143,0.0439459127228027
VISp,keypoints2d,290,0.08912108174554395
VISp,keypoints3d,42,0.01290719114935464
VISp,nonfixated_pose,74,0.022741241548862937
VISp,point_matching,84,0.02581438229870928
VISp,reshading,66,0.020282728948985862
VISp,room_layout,114,0.03503380454824831
VISp,segment_semantic,187,0.057467732022126614
VISp,segment_unsup25d,85,0.026121696373693916
VISp,segment_unsup2d,158,0.04855562384757222
VISp,vanishing_point,361,0.11094038106945298
VISpm,autoencoding,37,0.08131868131868132
VISpm,class_object,31,0.06813186813186813
VISpm,class_scene,32,0.07032967032967033
VISpm,curvature,19,0.041758241758241756
VISpm,denoising,11,0.024175824175824177
VISpm,depth_euclidean,11,0.024175824175824177
VISpm,depth_zbuffer,10,0.02197802197802198
VISpm,edge_occlusion,6,0.013186813186813187
VISpm,edge_texture,37,0.08131868131868132
VISpm,egomotion,15,0.03296703296703297
VISpm,fixated_pose,5,0.01098901098901099
VISpm,inpainting,14,0.03076923076923077
VISpm,jigsaw,10,0.02197802197802198
VISpm,keypoints2d,61,0.13406593406593406
VISpm,keypoints3d,12,0.026373626373626374
VISpm,nonfixated_pose,7,0.015384615384615385
VISpm,point_matching,16,0.035164835164835165
VISpm,reshading,8,0.017582417582417582
VISpm,room_layout,9,0.01978021978021978
VISpm,segment_semantic,43,0.0945054945054945
VISpm,segment_unsup25d,7,0.015384615384615385
VISpm,segment_unsup2d,25,0.054945054945054944
VISpm,vanishing_point,29,0.06373626373626373
VISrl,autoencoding,5,0.07246376811594203
VISrl,class_object,4,0.057971014492753624
VISrl,class_scene,4,0.057971014492753624
VISrl,curvature,2,0.028985507246376812
VISrl,denoising,2,0.028985507246376812
VISrl,depth_euclidean,1,0.014492753623188406
VISrl,depth_zbuffer,1,0.014492753623188406
VISrl,edge_occlusion,3,0.043478260869565216
VISrl,edge_texture,5,0.07246376811594203
VISrl,egomotion,2,0.028985507246376812
VISrl,inpainting,2,0.028985507246376812
VISrl,keypoints2d,8,0.11594202898550725
VISrl,keypoints3d,4,0.057971014492753624
VISrl,nonfixated_pose,1,0.014492753623188406
VISrl,point_matching,3,0.043478260869565216
VISrl,reshading,2,0.028985507246376812
VISrl,room_layout,3,0.043478260869565216
VISrl,segment_semantic,4,0.057971014492753624
VISrl,segment_unsup25d,2,0.028985507246376812
VISrl,segment_unsup2d,4,0.057971014492753624
VISrl,vanishing_point,7,0.10144927536231885
