task,training,count,proportion
keypoints2d,taskonomy,801,0.12116170019664196
vanishing_point,taskonomy,619,0.0936318257449705
edge_texture,taskonomy,561,0.08485856905158069
autoencoding,taskonomy,466,0.07048857963999396
class_object,taskonomy,424,0.06413553168960823
segment_semantic,taskonomy,395,0.05974890334291333
class_scene,taskonomy,384,0.058085009832098015
segment_unsup2d,taskonomy,334,0.05052185751021025
curvature,taskonomy,246,0.037210709423687795
jigsaw,taskonomy,242,0.036605657237936774
denoising,taskonomy,225,0.03403418544849493
inpainting,taskonomy,209,0.03161397670549085
egomotion,taskonomy,202,0.030555135380426562
point_matching,taskonomy,185,0.027983663590984722
room_layout,taskonomy,180,0.027227348358795946
depth_zbuffer,taskonomy,179,0.02707608531235819
nonfixated_pose,taskonomy,164,0.02480713961579186
segment_unsup25d,taskonomy,163,0.024655876569354106
depth_euclidean,taskonomy,151,0.022840720012101044
edge_occlusion,taskonomy,133,0.02011798517622145
reshading,taskonomy,133,0.02011798517622145
fixated_pose,taskonomy,108,0.016336409015277567
keypoints3d,taskonomy,107,0.016185145968839812
